observed_at,health_http_200,direct_api_ms,overview_api_ms,system_api_ms,ledger_api_ms,processor_healthy,heartbeat_healthy,progress_healthy,progress_age_ms,lifecycle_cycle_count,errors_last_5m,direct_open,direct_closed,direct_pnl_usdt,direct_classic_pf,app_rss_mb,heap_mb,redis_rps,redis_keys
2026-08-26T23:55:22.374Z,true,19,74,26.8,,true,true,true,1697,34,34,0,0,0,,2309.2,593,1107,136062
2026-08-26T23:55:37.449Z,true,529.7,563.2,567.1,,true,true,true,758,77,77,0,0,0,,2356,914,673,136075
2026-08-26T23:55:52.081Z,true,19,49,50.2,,true,true,true,187,117,117,0,0,0,,2461.4,757,768,136091
2026-08-26T23:56:07.263Z,true,274.5,391.7,341.3,339.7,true,true,true,4637,147,147,0,0,0,,2409,559,652,136109
2026-08-26T23:56:22.263Z,true,392.7,458.8,457.5,,true,true,true,18309,152,152,0,0,0,,2483.6,799,350,136020
2026-08-26T23:56:36.922Z,true,18.3,47.5,18.8,,false,true,false,33006,152,152,0,0,0,,2518.8,667,445,136037
2026-08-26T23:56:51.913Z,true,16.2,49.4,50.6,,false,true,false,47993,152,152,0,0,0,,2382.9,794,614,136052
2026-08-26T23:57:07.774Z,true,669.4,759.7,768.4,734.3,false,true,false,63791,152,152,0,0,0,,2554.4,1141,778,136064
2026-08-26T23:57:22.505Z,true,604.9,643.4,610.1,,true,true,true,1655,5,5,0,0,0,,2557.4,751,308,136072
2026-08-26T23:57:37.488Z,true,617.8,655.6,655.8,,true,true,true,3210,40,40,0,0,0,,2339.8,766,138,136087
2026-08-26T23:57:52.375Z,true,451.5,496.1,498.5,,true,true,true,2224,83,83,0,0,0,,2520.5,774,103,136107
2026-08-26T23:58:08.117Z,true,626.5,689.5,688.3,683.3,true,true,true,1407,127,127,0,0,0,,2481.5,1164,226,136121
2026-08-26T23:58:22.149Z,true,38.7,73.2,73.3,,true,true,true,6487,152,152,0,0,0,,2289,460,390,136032
2026-08-26T23:58:36.982Z,true,16.4,54.3,59,,false,true,false,21251,153,153,0,0,0,,2303.4,938,110,136037
2026-08-26T23:58:53.018Z,true,327.9,364.6,366,,false,true,false,37291,153,153,0,0,0,,2399.1,714,231,136052
2026-08-26T23:59:07.600Z,true,426.3,502.4,513.8,482.9,false,true,false,51823,153,153,0,0,0,,2449.2,1060,132,136064
2026-08-26T23:59:22.325Z,true,260.9,293.8,294.7,,true,true,true,2637,0,0,0,0,0,,2264.2,540,125,136075
2026-08-26T23:59:37.266Z,true,16.1,58.7,61.3,,true,true,true,746,44,44,0,0,0,,2361.9,773,333,136087
2026-08-26T23:59:52.358Z,true,16.8,52.2,52.3,,true,true,true,2648,81,81,0,0,0,,2483.3,1231,189,136108
2026-08-27T00:00:07.490Z,true,51.4,310.7,328.9,87.2,true,true,true,973,124,124,0,0,0,,2558.7,405,181,136116
2026-08-27T00:00:22.349Z,true,28.6,168.2,169.3,,true,true,true,6084,149,149,0,0,0,,2264.8,424,907,136127
2026-08-27T00:00:37.915Z,true,388.7,444.9,447.1,,true,true,true,6898,161,161,0,0,0,,2337.8,622,274,136033
2026-08-27T00:00:52.562Z,true,232.2,261.5,267.3,,false,true,false,21568,161,161,0,0,0,,2427.8,1036,104,136049
2026-08-27T00:01:07.293Z,true,38.8,117,127.6,95.9,false,true,false,36243,161,161,0,0,0,,2574.2,697,749,136059
2026-08-27T00:01:22.886Z,true,677.2,715.2,683,,false,true,false,51891,161,161,0,0,0,,2421.3,1279,275,136074
2026-08-27T00:01:38.168Z,true,448.7,502.6,514.3,,true,true,true,1953,13,13,0,0,0,,2510.4,614,190,136082
2026-08-27T00:01:52.544Z,true,236.7,272.6,273.2,,true,true,true,2387,49,49,0,0,0,,2394.5,749,252,136094
2026-08-27T00:02:08.306Z,true,592.6,658.4,675.5,641.1,true,true,true,1963,94,94,0,0,0,,2356.1,1004,285,136108
2026-08-27T00:02:22.528Z,true,19,61.4,20,,true,true,true,1927,131,131,0,0,0,,2283.8,901,219,136116
2026-08-27T00:02:37.363Z,true,18.4,58.2,59.5,,true,true,true,5781,159,159,0,0,0,,2367.6,388,164,136028
2026-08-27T00:02:52.342Z,true,18.9,61.2,62.9,,false,true,false,20757,159,159,0,0,0,,2297.5,477,2502,136037
2026-08-27T00:03:08.089Z,true,407.5,506.9,519.2,483,false,true,false,36437,159,159,0,0,0,,2258.7,787,357,136049
2026-08-27T00:03:22.832Z,true,56,352.6,310.9,,false,true,false,50995,159,159,0,0,0,,2406,843,341,136063
2026-08-27T00:03:37.954Z,true,567.2,598.4,598.8,,true,true,true,2305,13,13,0,0,0,,2382.3,696,276,136073
2026-08-27T00:03:52.541Z,true,17.3,58.7,72.6,,true,true,true,801,56,56,0,0,0,,2421.2,827,212,136084
2026-08-27T00:04:07.788Z,true,233.7,293.4,318.4,283.7,true,true,true,2934,94,94,0,0,0,,2407,1152,348,136095
2026-08-27T00:04:22.387Z,true,16.1,42.8,45.2,,true,true,true,398,139,139,0,0,0,,2456.5,1662,104,136108
2026-08-27T00:04:38.138Z,true,555.4,591.9,592.6,,true,true,true,9281,158,158,0,0,0,,2260,578,107,136119
2026-08-27T00:04:52.436Z,true,16.6,59,60.8,,false,true,false,21845,164,164,0,0,0,,2402.3,935,141,136035
2026-08-27T00:05:07.512Z,true,29.7,99.9,111,81.6,false,true,false,36886,164,164,0,0,0,,2328.9,571,323,136046
2026-08-27T00:05:22.616Z,true,18.7,44.8,46.2,,false,true,false,52040,164,164,0,0,0,,2379.9,1151,44,136058
2026-08-27T00:05:37.919Z,true,486.6,527.4,529.7,,true,true,true,1702,0,0,0,0,0,,2470.4,586,33,136074
2026-08-27T00:05:53.060Z,true,476.6,517.9,518.8,,true,true,true,1086,43,43,0,0,0,,2333.4,768,296,136087
2026-08-27T00:06:07.856Z,true,364.5,450,473.6,430.3,true,true,true,1885,80,80,0,0,0,,2427.9,1123,375,136101
2026-08-27T00:06:22.677Z,true,240.1,276.5,288.1,,true,true,true,1541,115,115,0,0,0,,2357.4,1561,289,136112
2026-08-27T00:06:38.112Z,true,663.3,701,708.1,,true,true,true,7411,140,140,0,0,0,,2490.4,424,86,136122
2026-08-27T00:06:53.013Z,true,124.5,169.4,168,,true,true,true,6180,152,152,0,0,0,,2394.2,818,98,136038
2026-08-27T00:07:08.225Z,true,471.5,589,599.4,550.9,false,true,false,21308,152,152,0,0,0,,2492,729,264,136049
2026-08-27T00:07:23.079Z,true,561.6,602.1,602.6,,false,true,false,36252,152,152,0,0,0,,2396.4,894,4469,136066
2026-08-27T00:07:38.375Z,true,555.1,613.5,614.5,,true,true,true,1623,0,0,0,0,0,,2419.6,585,2890,136079
2026-08-27T00:07:52.948Z,true,422.4,464.8,465.1,,true,true,true,2046,38,38,0,0,0,,2445.2,959,201,136092
2026-08-27T00:08:07.694Z,true,177.7,248.4,258.3,234.9,true,true,true,3050,75,75,0,0,0,,2481.1,662,301,136104
2026-08-27T00:08:23.199Z,true,554.5,596.2,597.5,,true,true,true,2946,114,114,0,0,0,,2445.7,816,3199,136114
2026-08-27T00:08:37.485Z,true,16.1,52.6,55.9,,true,true,true,5049,147,147,0,0,0,,2395.5,1277,3521,136126
2026-08-27T00:08:53.739Z,true,46.2,90.9,98.6,,true,true,true,1114,167,167,0,0,0,,2261.2,1077,1368,136045
2026-08-27T00:09:08.573Z,true,91.6,125.8,138,88.2,true,true,true,15919,167,167,0,0,0,,2440.6,529,2106,136053
2026-08-27T00:09:23.074Z,true,18,44.2,45.5,,false,true,false,30476,167,167,0,0,0,,2327.6,1030,123,136065
2026-08-27T00:09:38.582Z,true,514.8,539.8,541.2,,false,false,false,45984,167,167,0,0,0,,2393.3,1500,87,136077
2026-08-27T00:09:53.087Z,true,17.6,51,53.5,,true,true,true,756,21,21,0,0,0,,2284.3,1044,4656,136094
2026-08-27T00:10:09.969Z,true,704.1,797.7,806.1,770.2,true,true,true,2913,57,57,0,0,0,,2311.6,656,3789,136105
2026-08-27T00:10:23.589Z,true,17,54.9,58.6,,true,true,true,2745,94,94,0,0,0,,2405.1,830,3591,136118
2026-08-27T00:10:38.401Z,true,16.3,49.7,17,,true,true,true,1853,136,136,0,0,0,,2449.1,1200,1305,136133
2026-08-27T00:10:53.917Z,true,430,469.4,469.9,,true,true,true,1383,154,154,0,0,0,,2456.5,646,161,136145
2026-08-27T00:11:08.925Z,true,29.5,100.7,129.6,91.8,true,true,true,11848,166,166,0,0,0,,2426.9,730,224,136057
2026-08-27T00:11:23.445Z,true,16.6,45.8,51.1,,false,true,false,26431,166,166,0,0,0,,2324.3,1285,2261,136068
2026-08-27T00:11:41.674Z,true,17.1,49.2,50.5,,false,true,false,44661,166,166,0,0,0,,2482.7,474,3084,136082
2026-08-27T00:11:54.013Z,true,519.5,560.4,559.3,,true,true,true,1142,13,13,0,0,0,,2311.7,655,5035,136089
2026-08-27T00:12:09.084Z,true,170.6,266.9,278.8,246.3,true,true,true,2357,49,49,0,0,0,,2379.8,813,4110,136102
2026-08-27T00:12:33.950Z,true,16.3,57.3,59.8,,true,true,true,1831,116,116,0,0,0,,2452.7,1040,151,136120
2026-08-27T00:12:48.939Z,true,16.7,110.8,42.4,,true,true,true,1447,159,159,0,0,0,,2499,1419,202,136132
2026-08-27T00:13:03.842Z,true,17.2,62.4,63,,true,true,true,4428,167,167,0,0,0,,2545.3,646,6509,136041
2026-08-27T00:13:18.933Z,true,93.9,120.9,149.8,90.5,true,true,true,19460,167,167,0,0,0,,2386.9,677,4804,136049
2026-08-27T00:13:33.860Z,true,17.4,46.2,47.8,,false,true,false,34461,167,167,0,0,0,,2349.1,1128,3496,136060
2026-08-27T00:13:49.755Z,true,546.1,682.4,556.6,,false,true,false,50250,167,167,0,0,0,,2374.4,1686,2376,136077
2026-08-27T00:14:06.752Z,true,33.6,67.6,68.7,,true,true,true,692,18,18,0,0,0,,2292,711,183,136086
2026-08-27T00:14:18.949Z,true,31.9,98.8,122.2,91.4,true,true,true,978,51,51,0,0,0,,2354.9,913,2097,136094
2026-08-27T00:14:33.928Z,true,15.9,45,45.5,,true,true,true,1321,85,85,0,0,0,,2265.2,1590,3003,136105
2026-08-27T00:14:48.897Z,true,19.5,60.2,65.1,,true,true,true,1602,122,122,0,0,0,,2449.3,797,1145,136118
2026-08-27T00:15:04.090Z,true,104.5,148.3,148.5,,true,true,true,5397,153,153,0,0,0,,2435.5,556,322,136136
2026-08-27T00:15:49.143Z,true,633.1,707.6,832.8,691.5,false,true,false,50233,154,154,0,0,0,,2387.6,538,690,136059
2026-08-27T00:15:52.777Z,true,470,495.8,496.5,,false,true,false,54035,154,154,0,0,0,,2362.7,682,212,136063
2026-08-27T00:16:07.210Z,true,18.9,53.8,57.2,,true,true,true,416,18,18,0,0,0,,2362.7,747,3401,136073
2026-08-27T00:16:22.684Z,true,668.3,702.4,714.6,,true,true,true,1980,55,55,0,0,0,,2404.6,1118,3075,136084
2026-08-27T00:16:37.157Z,true,65.1,142.6,154.6,123.2,true,true,true,1969,92,92,0,0,0,,2487.2,1013,3994,136096
2026-08-27T00:16:52.869Z,true,764.4,801.8,807.7,,true,true,true,1984,133,133,0,0,0,,2534.7,818,4053,136109
2026-08-27T00:17:07.313Z,true,19.2,57.4,58.4,,true,true,true,9171,151,151,0,0,0,,2428.9,506,808,136119
2026-08-27T00:17:23.027Z,true,555.6,589.7,597.3,,false,true,false,23498,156,156,0,0,0,,2406.7,618,250,136030
2026-08-27T00:17:37.814Z,true,418.1,486,505.1,475.5,false,true,false,38245,156,156,0,0,0,,2354.5,1071,4827,136040
2026-08-27T00:17:52.413Z,true,225.9,263.9,226.5,,false,true,false,52887,156,156,0,0,0,,2317.4,687,2764,136055
